wage,num_emp,num_jobs,num_est,wage_avg,age_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,year,bra_id,cbo_id,ibge_id
129196.74,417,417,173,309.82,35.211,None,None,None,None,2002,4mg060203,6,3126109
51414.09,194,194,97,265.02,36.16,None,None,None,None,2002,4mg060204,6,3133501
30579.94,103,103,68,296.89,37.573,None,None,None,None,2002,4mg060205,6,3146503
8330.37,28,28,17,297.51,37.214,None,None,None,None,2002,4mg060206,6,3148905
132318.57,510,510,46,259.45,36.429,None,None,None,None,2002,4mg060207,6,3150505
207541.12,847,847,185,245.03,34.969,None,None,None,None,2002,4mg060300,6,3108008
59788.64,220,220,77,271.77,37.714,None,None,None,None,2002,4mg060301,6,3114006
38490.51,159,159,87,242.08,36.579,None,None,None,None,2002,4mg060302,6,3114501
22162.64,100,101,21,219.43,36.218,None,None,None,None,2002,4mg060303,6,3130002
198006.77,850,850,224,232.95,35.474,None,None,None,None,2002,4mg060304,6,3145604
40564.97,176,176,74,230.48,37.256,None,None,None,None,2002,4mg060305,6,3147709
31220.19,139,139,59,224.61,34.633,None,None,None,None,2002,4mg060306,6,3150604
130163.57,577,577,144,225.59,38.459,None,None,None,None,2002,4mg060307,6,3159902
61407.08,235,235,47,261.31,37.447,None,None,None,None,2002,4mg060308,6,3161205
115541.88,362,362,136,319.18,36.89,None,None,None,None,2002,4mg060400,6,3105103
20018.35,84,84,45,238.31,39.381,None,None,None,None,2002,4mg060401,6,3119807
4073.04,15,15,10,271.54,35.533,None,None,None,None,2002,4mg060402,6,3123403
58580.24,186,186,83,314.95,39.043,None,None,None,None,2002,4mg060403,6,3130309
25822.80,99,99,29,260.84,34.131,None,None,None,None,2002,4mg060404,6,3141306
274372.19,964,965,192,284.32,34.58,None,None,None,None,2002,4mg060405,6,3151503
5540.06,20,20,13,277.00,37.45,None,None,None,None,2002,4mg060406,6,3164308
17212.44,73,73,16,235.79,33.781,None,None,None,None,2002,4mg060407,6,3168200
23452.04,73,73,23,321.26,33.479,None,None,None,None,2002,4mg060408,6,3170602
454682.84,1526,1527,326,297.76,37.154,None,None,None,None,2002,4mg070000,6,3101607
61471.23,194,194,77,316.86,34.892,None,None,None,None,2002,4mg070001,6,3102001
68307.41,260,260,105,262.72,37.338,None,None,None,None,2002,4mg070002,6,3104304
238376.67,1018,1018,227,234.16,38.005,None,None,None,None,2002,4mg070003,6,3114402
11225.10,40,40,23,280.63,36.6,None,None,None,None,2002,4mg070004,6,3114709
73621.03,271,271,62,271.66,37.314,None,None,None,None,2002,4mg070005,6,3117108
34717.22,127,127,47,273.36,35.551,None,None,None,None,2002,4mg070006,6,3122405
